    timestep           tps         kinetic_energy  potential_energy     pressure     kinetic_temperature      volume     
     85000          1361.98942       3456.73816       919.17053        -10.73137           3.07676           64.00000    
     86000          1362.43542       3442.36615       974.99629         11.05510           3.06397           64.00000    
     87000          1362.55471       3381.72333       965.60202        -46.45304           3.00999           64.00000    
     88000          1362.89786       3438.21957       806.79250         2.74159            3.06028           64.00000    
     89000          1363.51587       3434.98275       853.62172         -2.78172           3.05739           64.00000    
     90000          1364.00888       3427.45523       949.09811         24.32211           3.05069           64.00000    
     91000          1364.52745       3498.77231       878.18170        -11.06161           3.11417           64.00000    
     92000          1365.36205       3380.33061       887.30044         -0.27315           3.00875           64.00000    
     93000          1366.23411       3442.33195       925.99741        -20.34100           3.06394           64.00000    
     94000          1367.01021       3465.34032       950.58116         4.22809            3.08442           64.00000    
     95000          1367.62336       3499.47064       921.77850         23.16138           3.11479           64.00000    
     96000          1367.71963       3314.06731       986.94267         32.64937           2.94977           64.00000    
     97000          1367.78348       3511.96869       1167.56153        30.47066           3.12592           64.00000    
     98000          1367.95117       3510.00589       1086.69884       -37.31607           3.12417           64.00000    
     99000          1368.53981       3427.94685       1029.11123        4.67042            3.05113           64.00000    
     100000         1369.12518       3421.57174       813.32425        -10.05741           3.04546           64.00000    
     101000         1369.74161       3417.98605       818.13702        -12.67155           3.04227           64.00000    
     102000         1370.16138       3376.08519       1011.01288        29.02298           3.00497           64.00000    
     103000         1370.39877       3550.01788       1047.29291        36.30280           3.15978           64.00000    
     104000         1370.84305       3602.99862       792.13495        -36.09134           3.20694           64.00000    
     105000         1370.16166       3423.88192       800.88253        -27.64778           3.04751           64.00000    
     106000         1370.74304       3266.34584       774.52823         1.75237            2.90729           64.00000    
     107000         1371.41558       3458.83650       973.21489         5.45521            3.07863           64.00000    
     108000         1371.79959       3565.86691       917.27510        -25.03973           3.17389           64.00000    
     109000         1372.00123       3387.14482       1013.56956        11.83651           3.01482           64.00000    
     110000         1371.42192       3441.94089       861.65266         41.29292           3.06359           64.00000    
     111000         1370.54227       3155.88726       964.36250         20.76343           2.80898           64.00000    
     112000         1370.31118       3469.67129       920.20313         -3.26866           3.08827           64.00000    
     113000         1370.20049       3639.31243       737.48757         21.68069           3.23926           64.00000    
     114000         1369.49766       3579.18191       773.00775         2.42388            3.18574           64.00000    
     115000         1369.19933       3488.55397       781.00362        -19.37479           3.10508           64.00000    
     116000         1369.03756       3496.72008       763.89516         64.09914           3.11235           64.00000    
     117000         1368.88959       3467.35641       824.46217         5.60308            3.08621           64.00000    
     118000         1368.33123       3447.33231       760.13181         1.45569            3.06839           64.00000    
     119000         1368.51621       3312.35256       937.62442        -20.28049           2.94824           64.00000    
     120000         1368.76715       3487.26145       934.73840         71.09051           3.10393           64.00000    
     121000         1369.18480       3389.63210       1080.58766        3.43351            3.01703           64.00000    
     122000         1369.42429       3592.09726       849.65933        -31.94077           3.19724           64.00000    
